nom_bacia;ena_data;ena_bruta_bacia_mwmed;ena_bruta_bacia_percentualmlt;ena_armazenavel_bacia_mwmed;ena_armazenavel_bacia_percentualmlt
AMAZONAS;2025-01-01;11780.987;67.2079;8255.38;47.0951
ARAGUARI;2025-01-01;144.18;54.8486;144.18;54.8486
CAPIVARI;2025-01-01;113.677;71.5602;113.677;71.5602
DOCE;2025-01-01;1877.364;109.5818;1047.154;61.1224
GRANDE;2025-01-01;10481.318;114.9843;10439.085;114.521
IGUACU;2025-01-01;5129.603;135.1271;5019.907;132.2375
ITABAPOANA;2025-01-01;157.637;152.8849;90.025;87.3111
ITAJAI;2025-01-01;103.341;51.386;103.341;51.386
JACUI;2025-01-01;618.008;114.0163;531.061;97.9755
JEQUITINHONHA;2025-01-01;907.757;87.5708;897.747;86.6052
MUCURI;2025-01-01;18.389;24.6445;18.389;24.6445
PARAGUACU;2025-01-01;2.314;1.5845;2.314;1.5845
PARAGUAI;2025-01-01;541.307;86.1962;476.079;75.8094
PARAIBA DO SUL;2025-01-01;1748.044;104.3949;1489.308;88.9429
PARANA;2025-01-01;19853.752;88.7675;19851.909;88.7592
PARANAIBA;2025-01-01;11437.545;128.0487;11154.649;124.8815
PARANAPANEMA;2025-01-01;1723.026;72.2862;1649.361;69.1957
PARNAIBA;2025-01-01;158.262;65.5549;158.262;65.5549
SANTA MARIA VIT;2025-01-01;22.949;54.2992;22.949;54.2992
SAO FRANCISCO;2025-01-01;6781.959;50.5975;6715.039;50.0982
TIETE;2025-01-01;2752.642;148.2223;1738.144;93.5943
TOCANTINS;2025-01-01;9544.523;67.5388;9366.812;66.2812
URUGUAI;2025-01-01;1801.086;71.5247;1663.144;66.0468
AMAZONAS;2025-01-02;11988.594;68.3923;11391.977;64.9887
ARAGUARI;2025-01-02;156.506;59.5377;156.506;59.5377
CAPIVARI;2025-01-02;112.66;70.92;112.66;70.92
DOCE;2025-01-02;1931.891;112.7646;1426.346;83.2559
GRANDE;2025-01-02;10820.783;118.7084;10803.393;118.5176
IGUACU;2025-01-02;4552.002;119.9116;4468.853;117.7213
ITABAPOANA;2025-01-02;125.86;122.0658;63.319;61.4102
ITAJAI;2025-01-02;133.013;66.1403;133.013;66.1403
JACUI;2025-01-02;819.79;151.2431;566.046;104.4299
JEQUITINHONHA;2025-01-02;854.297;82.4136;843.572;81.379
MUCURI;2025-01-02;18.726;25.0962;18.726;25.0962
PARAGUACU;2025-01-02;2.276;1.5585;2.276;1.5585
PARAGUAI;2025-01-02;538.66;85.7747;501.782;79.9023
PARAIBA DO SUL;2025-01-02;1807.429;107.9414;1604.107;95.7988
PARANA;2025-01-02;20707.21;92.5833;20705.367;92.5751
PARANAIBA;2025-01-02;12109.945;135.5765;11816.672;132.2932
PARANAPANEMA;2025-01-02;1744.071;73.1691;1691.601;70.9678
PARNAIBA;2025-01-02;154.637;64.0533;154.637;64.0533
SANTA MARIA VIT;2025-01-02;25.739;60.9005;25.739;60.9005
SAO FRANCISCO;2025-01-02;6311.545;47.0879;6271.727;46.7909
TIETE;2025-01-02;2566.961;138.2239;2173.724;117.0491
TOCANTINS;2025-01-02;9631.551;68.1546;9418.652;66.6481
URUGUAI;2025-01-02;2213.349;87.8965;2039.054;80.9749
AMAZONAS;2025-01-03;12288.453;70.1029;11824.858;67.4582
ARAGUARI;2025-01-03;170.366;64.8103;170.366;64.8103
CAPIVARI;2025-01-03;95.122;59.8798;95.122;59.8798
DOCE;2025-01-03;1968.938;114.927;1393.585;81.3436
GRANDE;2025-01-03;11031.421;121.0192;10997.818;120.6506
IGUACU;2025-01-03;4136.289;108.9607;3975.719;104.7308
ITABAPOANA;2025-01-03;102.314;99.2296;60.056;58.2456
ITAJAI;2025-01-03;148.043;73.6139;148.043;73.6139
JACUI;2025-01-03;910.73;168.0206;460.728;84.9997
JEQUITINHONHA;2025-01-03;866.749;83.6148;856.739;82.6492
MUCURI;2025-01-03;18.403;24.6633;18.403;24.6633
PARAGUACU;2025-01-03;2.295;1.5715;2.295;1.5715
PARAGUAI;2025-01-03;543.638;86.5673;514.9;81.9912
PARAIBA DO SUL;2025-01-03;1786.166;106.6716;1502.421;89.726
PARANA;2025-01-03;21475.872;96.0201;21474.029;96.0118
PARANAIBA;2025-01-03;12830.392;143.6423;12538.809;140.3779
PARANAPANEMA;2025-01-03;1745.909;73.2462;1734.366;72.7619
PARNAIBA;2025-01-03;154.501;63.997;154.501;63.997
SANTA MARIA VIT;2025-01-03;22.421;53.0499;22.421;53.0499
SAO FRANCISCO;2025-01-03;7346.995;54.813;7330.265;54.6882
TIETE;2025-01-03;2365.274;127.3636;2183.15;117.5567
